Event id;Event start date;Event stop date;Venue name;Event name;Venue address;Venue city;Venue state;Postal code;Latitude;Longitude;Cancelled
E0-001-091451298-4;2016-09-16 19:00:00;;Mohegan Sun Resort and Casino;Connecticut Sun vs. Tulsa Shock;1 Mohegan Sun Boulevard;Uncasville;CT;06382;41.4915974;-72.0914563;
E0-001-090774290-3;2016-09-16 19:00:00;;Mohegan Sun Resort and Casino;Dallas Wings at Connecticut Sun;1 Mohegan Sun Boulevard;Uncasville;CT;06382;41.4915974;-72.0914563;
E0-001-091570712-7;2016-09-16 18:00:00;;Broome County Forum Theatre;Peppa Pig;236 Washington Street;Binghamton;NY;13902;42.1009400;-75.9123320;
E0-001-092265794-5;2016-09-16 12:00:00;;Paramount Theatre - Asbury Park;The New Alternative Music Festival;1300 Ocean Avenue;Asbury Park;NJ;07712;40.223748;-73.999011;
E0-001-089606750-8;2016-09-16 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-087126389-9;2016-09-16 00:00:00;2016-09-18 00:00:00;Boston Convention & Exhibition Center;Abilities Expo Inc. - Abilities Expo Boston - 2016;415 Summer Street;Boston;MA;02210;42.3471335;-71.0440874;
E0-001-092691825-1;2016-09-15 20:25:00;;Ralph Wilson Stadium;Buffalo Bills vs. New York Jets;1 Bills Drive;Orchard Park;NY;14127;42.770754;-78.787036;
E0-001-092628948-7;2016-09-15 20:00:00;;B.B. King Blues Club and Grill;Vertical Horizon;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-092103319-3;2016-09-15 20:00:00;;Hampton Beach Casino Ballroom;Jeff Dunham;169 OCEAN BOULEVARD;Hampton;NH;03842;42.9097209;-70.8109439;
E0-001-089693804-8;2016-09-15 19:30:00;;TD Garden;Adele;100 Legends Way;Boston;MA;02114;42.36632497833478;-71.06216551058958;
E0-001-093208916-1;2016-09-15 19:25:00;;Webster Hall;Blind Guardian with Special Guest: Grave Digger Beyond the Red Mirror;125 East Eleventh Street;New York;NY;10003;40.7317679;-73.9892102;
E0-001-090385474-1;2016-09-15 19:10:00;;Fenway Park;Boston Red Sox vs. New York Yankees;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-092276990-3;2016-09-15 19:00:00;;Irving Plaza;Pablo Milan\u00e9s;17 Irving Place;New York;NY;10003;40.7349170;-73.9884469;
E0-001-092475005-1;2016-09-15 19:00:00;;Carnegie Hall;Donovan;881 Seventh Avenue;New York;NY;10019;40.765016;-73.9799;
E0-001-089322732-1@2016091519;2016-09-15 19:00:00;;Wilbur Theatre;Jim Gaffigan;246 Tremont Street;Boston;MA;02116;42.3507536;-71.0647817;
E0-001-090466569-4;2016-09-15 19:00:00;;Royale Nightclub;Lush;279 Tremont St;Boston;MA;02116;42.3498991;-71.0654478;
E0-001-093118897-9;2016-09-15 19:00:00;;Boston College;Reporting on Gender Inequities and Global Health;140 Commonwealth Avenue;Chestnut Hill;MA;02467;42.3397737;-71.1667023;
E0-001-090971087-4;2016-09-15 19:00:00;;Sportsmen's Tavern;Jethro Tull's Martin Barre Band;326 Amherst Street;Buffalo;NY;;42.9376812;-78.8917205;
E0-001-092192848-4;2016-09-15 18:00:00;;Paradise Rock Club;Thirdstory;967 Commonwealth Avenue;Boston;MA;02115;42.3516986;-71.1196433;
E0-001-091578012-0;2016-09-15 18:00:00;;Mulroy Civic Center Theater;Peppa Pig Live!;411 Montgomery Street;Syracuse;NY;13202;43.0463050;-76.1487454;
E0-001-091589478-8;2016-09-15 18:00:00;;Mulroy Civic Center Theater;Peppa Pig's Big Splash;411 Montgomery Street;Syracuse;NY;13202;43.0463050;-76.1487454;
E0-001-089606749-2;2016-09-15 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-089694461-4;2016-09-14 19:30:00;;TD Garden;Adele;100 Legends Way;Boston;MA;02114;42.36632497833478;-71.06216551058958;
E0-001-088826482-3@2016091419;2016-09-14 19:30:00;;Prudential Center;TORUK - The First Flight;25 Lafayette Street;Newark;NJ;07102;40.73344;-74.171128;
E0-001-090385194-8;2016-09-14 19:10:00;;Fenway Park;Boston Red Sox vs. Baltimore Orioles;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-088866255-7;2016-09-14 19:00:00;;Terminal 5;Lush;610 West 56th Street;New York;NY;10019;40.7697080;-73.9927620;
E0-001-093291077-3;2016-09-14 19:00:00;;Gillette Stadium;Bruce Springsteen;1 Patriot Place;Foxboro;MA;02035;42.0935165;-71.2615157;
E0-001-092476048-3;2016-09-14 19:00:00;;Troy Savings Bank Music Hall;Donovan;30 2nd Street;Troy;NY;12180;42.730598619109074;-73.69145612327884;
E0-001-093080468-1;2016-09-14 19:00:00;;Iron Horse Music Hall;Mike Peters (of The Alarm);20 Center Street;Northampton;MA;01060;42.3191220;-72.6316430;
E0-001-089599264-1;2016-09-14 17:00:00;;Connecticut Convention Center;2016 40 Under Forty 20th Anniversary;100 Columbus Boulevard;Hartford;CT;06105;41.7637739;-72.6696529;
E0-001-090388451-1;2016-09-14 16:05:00;;Yankee Stadium;New York Yankees vs. Los Angeles Dodgers;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-089459905-8;2016-09-14 16:00:00;;Vassar College;Soccer (M) vs. SUNY New Paltz;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-091193735-9;2016-09-14 15:30:00;;Trump Taj Mahal;The Musical - Barbra Streisand and Frank Sinatra, The Concert That Never Was;1000 Boardwalk at Virginia Avenue;Atlantic City;NJ;08401;39.3599268;-74.4202557;
E0-001-091152474-8;2016-09-14 15:30:00;;Trump Taj Mahal;Barbra and Frank: the Concert That Never Was...;1000 Boardwalk at Virginia Avenue;Atlantic City;NJ;08401;39.3599268;-74.4202557;
E0-001-092924397-2;2016-09-14 13:01:00;;Yankee Stadium;PARKING PASSES ONLY Dodgers at Yankees;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-090694615-9;2016-09-14 12:55:00;;Ralph Wilson Stadium;2016 Buffalo Bills Season Tickets (Includes Tickets to All Regular Season Home Games);1 Bills Drive;Orchard Park;NY;14127;42.770754;-78.787036;
E0-001-093217652-8;2016-09-14 12:54:00;;Ralph Wilson Stadium;Parking Passes Only Buffalo Bills Season Parking;1 Bills Drive;Orchard Park;NY;14127;42.770754;-78.787036;
E0-001-091880440-3;2016-09-14 00:00:00;;Battery Park;Lunch Bunch Beginners 5k Training Program;Battery Place and State and Whitehall streets;New York;NY;10002;40.70384038188951;-74.01484003457642;
E0-001-089606748-3;2016-09-14 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092801859-1;2016-09-13 20:00:00;;B.B. King Blues Club and Grill;ANDY FAIRWEATHER LOW & THE LOW RIDERS;237 W 42nd Street;New York;NY;10036;40.7566714;-73.9884173;
E0-001-091255796-5@2016091320;2016-09-13 20:00:00;;Blue Note;TAJ MAHAL;131 W Third Street;New York;NY;10012;40.7309012;-74.0006340;
E0-001-092820986-5;2016-09-13 19:30:00;;Orpheum Theatre;Glen Hansard;One Hamilton Place;Boston;MA;02108;42.3566281;-71.0617937;
E0-001-092980780-4;2016-09-13 19:30:00;;Citi Performing Arts Center Wang Theatre;Jenny Lewis with The Watson Twins;270 Tremont Street;Boston;MA;02116;42.3505119;-71.0649715;
E0-001-090385190-2;2016-09-13 19:10:00;;Fenway Park;Boston Red Sox vs. Baltimore Orioles;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-090388442-3;2016-09-13 19:05:00;;Yankee Stadium;New York Yankees vs. Los Angeles Dodgers;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-091451286-9;2016-09-13 19:00:00;;Mohegan Sun Resort and Casino;Connecticut Sun vs. Indiana Fever;1 Mohegan Sun Boulevard;Uncasville;CT;06382;41.4915974;-72.0914563;
E0-001-092924386-6;2016-09-13 13:01:00;;Yankee Stadium;PARKING PASSES ONLY Dodgers at Yankees;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-093065445-7;2016-09-13 10:00:00;;Bryant Park;Bryant Park Yoga with Danielle Diamond;40th Street at Sixth Avenue;New York;NY;10036;40.7535540;-73.9850430;
E0-001-089606747-4;2016-09-13 00:00:00;;Yankee Stadium;Yankee Stadium Tours;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092559979-4;2016-09-12 22:30:00;;Blue Note;AHMAD JAMAL PRESENTS: SHAHIN - ALBUM RELEASE;131 W Third Street;New York;NY;10012;40.7309012;-74.0006340;
E0-001-092756951-1;2016-09-12 20:00:00;;Blue Note;AHMAD JAMAL PRESENTS: SHAHIN - ALBUM RELEASE;131 W Third Street;New York;NY;10012;40.7309012;-74.0006340;
E0-001-093088793-0;2016-09-12 20:00:00;;Higher Ground;Jenny Lewis & The Watson Twins;1214 Williston Rd;South Burlington;VT;05403;44.4688870;-73.1756400;
E0-001-090385188-7;2016-09-12 19:10:00;;Fenway Park;Boston Red Sox vs. Baltimore Orioles;4 Yawkey Way;Boston;MA;02215-3409;42.346351;-71.09762;
E0-001-090388437-1;2016-09-12 19:05:00;;Yankee Stadium;New York Yankees vs. Los Angeles Dodgers;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092495477-2;2016-09-12 19:00:00;;Webster Hall;Echo and the Bunnymen;125 East Eleventh Street;New York;NY;10003;40.7317679;-73.9892102;
E0-001-092128016-2;2016-09-12 19:00:00;;House of Blues - Boston;92.5 The River presents The Specials;15 Lansdowne Street;Boston;MA;02215;42.3471841;-71.0957036;
E0-001-092193741-9;2016-09-12 18:00:00;;Bryant Park;Scrabble Social;40th Street at Sixth Avenue;New York;NY;10036;40.7535540;-73.9850430;
E0-001-092729921-4;2016-09-12 17:30:00;;Vassar College;2016 William Starr Distinguished Lecture;124 Raymond Ave;Poughkeepsie;NY;12604-0002;41.6860392;-73.8949169;
E0-001-090552706-3;2016-09-12 16:30:00;;Cornell University;Bartels World Affairs Fellowship Lecture: Svetland Alexievich;410 Thurston Ave;Ithaca;NY;14850;42.4569699;-76.4708897;
E0-001-092924377-8;2016-09-12 13:01:00;;Yankee Stadium;PARKING PASSES ONLY Dodgers at Yankees;One East 161st Street;Bronx;NY;10456;40.8291892;-73.9264926;
E0-001-092730885-9@2016091212;2016-09-12 12:30:00;;Bryant Park;Luiz Simas - Brazilian and American Genres of Jazz;40th Street at Sixth Avenue;New York;NY;10036;40.7535540;-73.9850430;
