Week,Year,State,Prevalence
11,2016,AK,Widespread
11,2016,OR,Widespread
11,2016,WA,Regional
11,2016,ID,Widespread
11,2016,GU,Regional
11,2016,HI,Local Activity
11,2016,CA,Widespread
11,2016,NV,Widespread
11,2016,AZ,Widespread
11,2016,UT,Regional
11,2016,CO,Widespread
11,2016,WY,Widespread
11,2016,MT,Widespread
11,2016,SD,Widespread
11,2016,ND,Widespread
11,2016,KS,Widespread
11,2016,NE,Widespread
11,2016,MO,Widespread
11,2016,IA,Widespread
11,2016,NM,Widespread
11,2016,TX,Regional
11,2016,OK,Widespread
11,2016,LA,Regional
11,2016,AR,Widespread
11,2016,MN,Widespread
11,2016,WI,Widespread
11,2016,MI,Widespread
11,2016,IL,Regional
11,2016,IN,Widespread
11,2016,OH,Widespread
11,2016,MS,Regional
11,2016,AL,Regional
11,2016,TN,Regional
11,2016,KY,Widespread
11,2016,FL,Widespread
11,2016,GA,Regional
11,2016,SC,Widespread
11,2016,NC,Widespread
11,2016,WV,Regional
11,2016,VA,Widespread
11,2016,DC,Local Activity
11,2016,MD,Widespread
11,2016,DE,Widespread
11,2016,PA,Widespread
11,2016,VI,No Report
11,2016,PR,Widespread
11,2016,NJ,Widespread
11,2016,NY,Widespread
11,2016,CT,Widespread
11,2016,RI,Widespread
11,2016,MA,Widespread
11,2016,VT,Widespread
11,2016,NH,Widespread
11,2016,ME,Widespread
10,2016,AK,Widespread
10,2016,OR,Widespread
10,2016,WA,Regional
10,2016,ID,Widespread
10,2016,GU,Regional
10,2016,HI,Regional
10,2016,CA,Widespread
10,2016,NV,Widespread
10,2016,AZ,Widespread
10,2016,UT,Regional
10,2016,CO,Widespread
10,2016,WY,Widespread
10,2016,MT,Widespread
10,2016,SD,Widespread
10,2016,ND,Widespread
10,2016,KS,Widespread
10,2016,NE,Widespread
10,2016,MO,Widespread
10,2016,IA,Widespread
10,2016,NM,Widespread
10,2016,TX,Regional
10,2016,OK,Widespread
10,2016,LA,Regional
10,2016,AR,Widespread
10,2016,MN,Widespread
10,2016,WI,Widespread
10,2016,MI,Widespread
10,2016,IL,Regional
10,2016,IN,Widespread
10,2016,OH,Widespread
10,2016,MS,Regional
10,2016,AL,Regional
10,2016,TN,Regional
10,2016,KY,Widespread
10,2016,FL,Widespread
10,2016,GA,Widespread
10,2016,SC,Widespread
10,2016,NC,Widespread
10,2016,WV,Regional
10,2016,VA,Widespread
10,2016,DC,Local Activity
10,2016,MD,Widespread
10,2016,DE,Widespread
10,2016,PA,Widespread
10,2016,VI,No Report
10,2016,PR,Widespread
10,2016,NJ,Widespread
10,2016,NY,Widespread
10,2016,CT,Widespread
10,2016,RI,Widespread
10,2016,MA,Widespread
10,2016,VT,Widespread
10,2016,NH,Widespread
10,2016,ME,Widespread
9,2016,AK,Widespread
9,2016,OR,Widespread
9,2016,WA,Regional
9,2016,ID,Widespread
9,2016,GU,Regional
9,2016,HI,Regional
9,2016,CA,Widespread
9,2016,NV,Widespread
9,2016,AZ,Widespread
9,2016,UT,Widespread
9,2016,CO,Regional
9,2016,WY,Widespread
9,2016,MT,Widespread
9,2016,SD,Widespread
9,2016,ND,Widespread
9,2016,KS,Widespread
9,2016,NE,Widespread
9,2016,MO,Regional
9,2016,IA,Widespread
9,2016,NM,Widespread
9,2016,TX,Widespread
9,2016,OK,Widespread
9,2016,LA,Regional
9,2016,AR,Widespread
9,2016,MN,Widespread
9,2016,WI,Widespread
9,2016,MI,Widespread
9,2016,IL,Regional
9,2016,IN,Widespread
9,2016,OH,Widespread
9,2016,MS,Regional
9,2016,AL,Regional
9,2016,TN,Regional
9,2016,KY,Widespread
9,2016,FL,Widespread
9,2016,GA,Regional
9,2016,SC,Regional
9,2016,NC,Widespread
9,2016,WV,Regional
9,2016,VA,Widespread
9,2016,DC,Local Activity
9,2016,MD,Widespread
9,2016,DE,Widespread
9,2016,PA,Widespread
9,2016,VI,Sporadic
9,2016,PR,Widespread
9,2016,NJ,Widespread
9,2016,NY,Widespread
9,2016,CT,Widespread
9,2016,RI,Widespread
9,2016,MA,Widespread
9,2016,VT,Widespread
9,2016,NH,Widespread
9,2016,ME,Regional
8,2016,AK,Widespread
8,2016,OR,Sporadic
8,2016,WA,Widespread
8,2016,ID,Widespread
8,2016,GU,Regional
8,2016,HI,Regional
8,2016,CA,Widespread
8,2016,NV,Widespread
8,2016,AZ,Widespread
8,2016,UT,Widespread
8,2016,CO,Regional
8,2016,WY,Widespread
8,2016,MT,Widespread
8,2016,SD,Widespread
8,2016,ND,Widespread
8,2016,KS,Widespread
8,2016,NE,Widespread
8,2016,MO,Regional
8,2016,IA,Widespread
8,2016,NM,Widespread
8,2016,TX,Widespread
8,2016,OK,Regional
8,2016,LA,Regional
8,2016,AR,Regional
8,2016,MN,Widespread
8,2016,WI,Widespread
8,2016,MI,Widespread
8,2016,IL,Regional
8,2016,IN,Regional
8,2016,OH,Widespread
8,2016,MS,Local Activity
8,2016,AL,Regional
8,2016,TN,Regional
8,2016,KY,Widespread
8,2016,FL,Regional
8,2016,GA,Regional
8,2016,SC,Regional
8,2016,NC,Widespread
8,2016,WV,Sporadic
8,2016,VA,Widespread
8,2016,DC,Local Activity
8,2016,MD,Widespread
8,2016,DE,Widespread
8,2016,PA,Widespread
8,2016,VI,Sporadic
8,2016,PR,Widespread
8,2016,NJ,Widespread
8,2016,NY,Widespread
8,2016,CT,Widespread
8,2016,RI,Widespread
8,2016,MA,Widespread
8,2016,VT,Widespread
8,2016,NH,Widespread
8,2016,ME,Regional
7,2016,AK,Local Activity
7,2016,OR,Regional
7,2016,WA,Widespread
7,2016,ID,Regional
7,2016,GU,Widespread
7,2016,HI,Regional
7,2016,CA,Widespread
7,2016,NV,Widespread
7,2016,AZ,Widespread
7,2016,UT,Widespread
7,2016,CO,Local Activity
7,2016,WY,Regional
7,2016,MT,Regional
7,2016,SD,Regional
7,2016,ND,Widespread
7,2016,KS,Regional
7,2016,NE,Regional
7,2016,MO,Local Activity
7,2016,IA,Widespread
7,2016,NM,Widespread
7,2016,TX,Widespread
7,2016,OK,Regional
7,2016,LA,Local Activity
7,2016,AR,Local Activity
7,2016,MN,Widespread
7,2016,WI,Local Activity
7,2016,MI,Widespread
7,2016,IL,Local Activity
7,2016,IN,Regional
7,2016,OH,Regional
7,2016,MS,Local Activity
7,2016,AL,Regional
7,2016,TN,Regional
7,2016,KY,Widespread
7,2016,FL,Regional
7,2016,GA,Regional
7,2016,SC,Local Activity
7,2016,NC,Regional
7,2016,WV,Sporadic
7,2016,VA,Widespread
7,2016,DC,Local Activity
7,2016,MD,Widespread
7,2016,DE,Local Activity
7,2016,PA,Widespread
7,2016,VI,Sporadic
7,2016,PR,Widespread
7,2016,NJ,Widespread
7,2016,NY,Widespread
7,2016,CT,Widespread
7,2016,RI,Regional
7,2016,MA,Widespread
7,2016,VT,Widespread
7,2016,NH,Widespread
7,2016,ME,Regional
6,2016,AK,Local Activity
6,2016,OR,Local Activity
6,2016,WA,Regional
6,2016,ID,Regional
6,2016,GU,Local Activity
6,2016,HI,Local Activity
6,2016,CA,Widespread
6,2016,NV,Regional
6,2016,AZ,Widespread
6,2016,UT,Regional
6,2016,CO,Local Activity
6,2016,WY,Local Activity
6,2016,MT,Regional
6,2016,SD,Local Activity
6,2016,ND,Regional
6,2016,KS,Local Activity
6,2016,NE,Local Activity
6,2016,MO,Local Activity
6,2016,IA,Widespread
6,2016,NM,Widespread
6,2016,TX,Widespread
6,2016,OK,Local Activity
6,2016,LA,Sporadic
6,2016,AR,Local Activity
6,2016,MN,Regional
6,2016,WI,Local Activity
6,2016,MI,Regional
6,2016,IL,Regional
6,2016,IN,Regional
6,2016,OH,Regional
6,2016,MS,Sporadic
6,2016,AL,Local Activity
6,2016,TN,Regional
6,2016,KY,Widespread
6,2016,FL,Regional
6,2016,GA,Regional
6,2016,SC,Regional
6,2016,NC,Regional
6,2016,WV,Sporadic
6,2016,VA,Local Activity
